2025-10-01 10:58:25 | INFO     | root | 🌐 Starting server on 0.0.0.0:4443
2025-10-01 10:58:25 | INFO     | root | 🚀 Starting AR/VR Assistant System...
2025-10-01 10:58:25 | INFO     | root | 📦 Batch processing: 4 frames per batch
2025-10-01 10:58:25 | INFO     | services.ai_engine_service | 🌐 Connecting to http://localhost:3000...
2025-10-01 10:58:25 | INFO     | services.ai_engine_service | ✅ Connected to Node backend
2025-10-01 10:58:25 | INFO     | root | ✅ AI Vision Engine connected
2025-10-01 10:58:25 | INFO     | services.ai_engine_service | 🚀 AI Engine service running...
2025-10-01 10:58:25 | INFO     | root | 🛑 Shutting down AR/VR Assistant System...
2025-10-01 10:58:25 | WARNING  | services.ai_engine_service | ❌ Disconnected from Node backend
2025-10-01 10:58:25 | INFO     | services.ai_engine_service | 🔌 Disconnected from Node backend
2025-10-01 10:58:25 | INFO     | root | 👋 Shutdown complete
2025-10-01 10:59:04 | INFO     | root | 🌐 Starting server on 0.0.0.0:4445
2025-10-01 10:59:04 | INFO     | root | 🚀 Starting AR/VR Assistant System...
2025-10-01 10:59:04 | INFO     | root | 📦 Batch processing: 4 frames per batch
2025-10-01 10:59:04 | INFO     | services.ai_engine_service | 🌐 Connecting to http://localhost:3000...
2025-10-01 10:59:04 | INFO     | services.ai_engine_service | ✅ Connected to Node backend
2025-10-01 10:59:04 | INFO     | root | ✅ AI Vision Engine connected
2025-10-01 10:59:04 | INFO     | services.ai_engine_service | 🚀 AI Engine service running...
2025-10-01 10:59:40 | WARNING  | services.ai_engine_service | ❌ Disconnected from Node backend
2025-10-01 10:59:48 | INFO     | services.ai_engine_service | ✅ Connected to Node backend
2025-10-01 11:00:58 | WARNING  | services.ai_engine_service | ❌ Disconnected from Node backend
2025-10-01 11:00:59 | INFO     | services.ai_engine_service | ✅ Connected to Node backend
2025-10-01 11:01:22 | WARNING  | services.ai_engine_service | ❌ Disconnected from Node backend
2025-10-01 11:05:48 | INFO     | root | 🛑 Shutting down AR/VR Assistant System...
2025-10-01 11:05:48 | INFO     | root | 👋 Shutdown complete
